# pitch accents for deck words, filtered from kanjium (github.com/mifunetoshiro/kanjium, CC BY-SA)
タブレット	タブレット	1
タブー	タブー	2
ターゲット	ターゲット	1
ダウン	だうん	1
ダウンロード	ダウンロード	4
ダンス	ダンス	1
チェック	チェック	1
チェンジ	ちぇんじ	1
チケット	チケット	2
チャット	チャット	1
チャンス	チャンス	1
チャージ	チャージ	1
チョコレート	チョコレート	3
チーム	チーム	1
ツール	ツール	1
テキスト	テキスト	1
テクニック	テクニック	1
テスト	テスト	1
テニス	テニス	1
テレビ	テレビ	1
テンション	テンション	1
テンポ	テンポ	1
テーブル	テーブル	0
テーマ	テーマ	1
ディスカッション	ディスカッション	3
デザイン	デザイン	2
デジタル	デジタル	1
デッドライン	デッドライン	4
デバイス	デバイス	2
デパート	デパート	2
デメリット	デメリット	2
デリケート	デリケート	3
データ	データ	1
データベース	データベース	4
デート	デート	1
トイレ	トイレ	1
トップ	トップ	1
トラウマ	トラウマ	2
トラブル	トラブル	2
トレンド	トレンド	2
トンネル	トンネル	0
ドア	ドア	1
ドグマ	ドグマ	1
ドライブ	ドライブ	2
ナイフ	ナイフ	1
ナイーブ	ナイーブ	2
ニュアンス	ニュアンス	1
ニュース	ニュース	1
ニーズ	ニーズ	1
ネクタイ	ネクタイ	1
ネット	ネット	1
ネットワーク	ネットワーク	4
ノウハウ	ノウハウ	1
ノスタルジー	ノスタルジー	3
ノルマ	ノルマ	1
ノート	ノート	1
ハム	ハム	1
ハンカチ	ハンカチ	3
ハンドバッグ	ハンドバッグ	4
ハンバーガー	ハンバーガー	3
ハードウェア	ハードウェア	4
ハードル	ハードル	0
バス	バス	1
バター	バター	1
バックアップ	バックアップ	4
バッテリー	バッテリー	0
バナナ	バナナ	1
バランス	バランス	0
バリエーション	バリエーション	3
バージョン	バージョン	1
バーチャル	バーチャル	1
パスワード	パスワード	3
パソコン	パソコン	0
パターン	パターン	2
パニック	パニック	1
パラダイム	パラダイム	3
パラドックス	パラドックス	3
パン	パン	1
パーセント	パーセント	3
パーティー	パーティー	1
パート	パート	1
パートナー	パートナー	1
ヒエラルキー	ヒエラルキー	3
ヒント	ヒント	1
ヒーター	ヒーター	1
ビジネス	ビジネス	1
ビタミン	ビタミン	2
ビル	ビル	1
ビール	ビール	1
ピンチ	ピンチ	1
ファイル	ファイル	1
フィルム	フィルム	1
フィードバック	フィードバック	4
フォロー	フォロー	1
フォーク	フォーク	1
フォーマット	フォーマット	1
フレキシブル	フレキシブル	2
フレームワーク	フレームワーク	5
ブラウザ	ブラウザ	2
ブランド	ブランド	0
ブリーフィング	ブリーフィング	2
ブレークスルー	ブレークスルー	6
ブーム	ブーム	1
プライド	プライド	0
プライバシー	プライバシー	2
プラス	ぷらす	0
プラスチック	プラスチック	4
プラットホーム	プラットホーム	5
プラン	プラン	1
プリンター	プリンター	2
プレゼンス	プレゼンス	2
プレゼンテーション	プレゼンテーション	5
プレゼント	プレゼント	2
プレッシャー	プレッシャー	2
プロ	プロ	1
プログラミング	プログラミング	4
プログラム	プログラム	3
プロジェクト	プロジェクト	2
プロセス	プロセス	2
プロパガンダ	プロパガンダ	4
プール	プール	1
ヘゲモニー	ヘゲモニー	2
ベッド	ベッド	1
ベテラン	ベテラン	0
ベル	ベル	1
ベルト	ベルト	0
ペア	ペア	1
ペン	ペン	1
ペース	ペース	1
ペーソス	ペーソス	1
ホテル	ホテル	1
ホームページ	ホームページ	4
ボタン	ボタン	0
ボトルネック	ボトルネック	4
ボリューム	ボリューム	0
ボールペン	ボールペン	0
ポイント	ポイント	0
ポケット	ポケット	2
ポジション	ポジション	2
ポテンシャル	ポテンシャル	2
ポリシー	ポリシー	1
マイク	マイク	1
マイナス	まいなす	0
マウス	マウス	1
マスコミ	マスコミ	0
マナー	マナー	1
マニュアル	マニュアル	0
マフラー	マフラー	1
マンション	マンション	1
マーケット	マーケット	1
マーケティング	マーケティング	3
マージン	マージン	1
ミス	ミス	1
ミーティング	ミーティング	0
メイン	メイン	1
メカニズム	メカニズム	3
メタファー	メタファー	1
メディア	メディア	1
